ID,user_state,price1,price2,gas1,gas2,nuc1,nuc2,ren1,ren2,fos1,fos2,original_choice
467,California,100,110,0,40,20,20,30,0,40,70,1
972,California,100,100,60,0,0,20,10,30,80,40,2
629,California,90,90,60,0,20,0,20,0,50,90,1
312,California,120,90,60,20,30,30,0,30,60,30,2
194,California,110,120,0,20,30,20,10,10,50,60,2
615,California,90,90,0,40,0,10,0,10,90,70,2
355,California,90,100,60,20,20,10,20,0,50,80,1
221,California,110,90,40,0,20,0,0,0,70,90,2
954,California,100,100,0,0,20,20,30,30,40,40,1
342,California,120,120,0,20,10,20,20,10,60,60,2
903,California,100,120,0,40,20,0,30,30,40,60,1
490,California,100,110,60,40,0,20,10,0,80,70,1
563,California,110,100,0,60,30,0,10,10,50,80,1
503,California,90,90,0,0,0,0,0,0,90,90,2
896,California,120,90,60,40,30,10,0,10,60,70,2
832,California,110,90,40,0,20,0,0,0,70,90,2
875,California,120,110,60,20,30,0,0,20,60,70,2
961,California,120,120,60,0,30,10,0,20,60,60,1
767,California,100,100,60,60,0,0,10,10,80,80,2
576,California,120,120,0,20,10,20,20,10,60,60,1
244,California,110,90,0,20,30,30,10,30,50,30,1
897,California,110,120,20,40,0,0,20,30,70,60,1
527,California,120,100,0,60,10,0,20,10,60,80,2
162,California,90,110,20,0,30,30,30,10,30,50,2
310,California,110,120,60,20,10,20,30,10,50,60,1
228,California,90,120,0,40,0,0,0,30,90,60,2
721,California,120,100,0,20,10,10,20,0,60,80,2
986,California,120,120,60,0,30,10,0,20,60,60,1
7,California,120,110,0,20,10,0,20,20,60,70,2
630,California,120,90,60,20,30,30,0,30,60,30,2
826,California,120,90,0,20,10,30,20,30,60,30,2
780,California,110,120,0,20,30,20,10,10,50,60,2
497,California,110,120,40,0,20,10,0,20,70,60,1
212,California,100,90,20,0,10,0,0,0,80,90,1
135,California,110,90,60,20,10,30,30,30,50,30,2
721,California,90,110,0,20,0,0,0,20,90,70,2
266,California,110,120,40,0,20,10,0,20,70,60,1
13,California,100,100,0,60,20,0,30,10,40,80,1
564,California,100,100,60,60,0,0,10,10,80,80,1
176,California,90,100,40,40,10,30,10,20,70,40,1
193,California,120,120,20,20,20,20,10,10,60,60,2
44,California,110,100,40,40,20,30,0,20,70,40,2
343,California,120,100,0,0,10,20,20,30,60,40,2
900,California,110,90,0,20,30,30,10,30,50,30,1
261,California,110,110,60,40,10,20,30,0,50,70,1
756,California,110,90,40,60,20,20,0,20,70,50,1
640,California,100,120,20,0,10,10,0,20,80,60,1
832,California,90,100,20,0,30,20,30,30,30,40,1
205,California,120,90,0,20,10,30,20,30,60,30,2
731,California,120,120,60,20,30,20,0,10,60,60,2
471,California,90,90,60,0,20,0,20,0,50,90,1
353,California,90,90,40,20,10,30,10,30,70,30,2
775,California,100,90,20,20,10,30,0,30,80,30,1
915,California,100,120,20,40,10,0,0,30,80,60,1
342,California,110,110,20,40,0,20,20,0,70,70,1
820,California,90,120,60,0,20,10,20,20,50,60,1
915,California,90,90,0,60,0,20,0,20,90,50,2
985,California,90,90,60,0,20,0,20,0,50,90,1
546,California,90,90,60,40,20,10,20,10,50,70,1
954,California,120,120,20,20,20,20,10,10,60,60,2
509,California,100,90,40,60,30,20,20,20,40,50,2
167,California,110,110,20,60,0,10,20,30,70,50,1
527,California,120,100,40,60,0,0,30,10,60,80,1
70,California,90,90,60,0,20,0,20,0,50,90,1
616,California,120,90,20,0,20,0,10,0,60,90,2
793,California,110,90,0,60,30,20,10,20,50,50,2
527,California,100,90,40,0,30,0,20,0,40,90,2
1019,California,90,110,40,40,10,20,10,0,70,70,2
585,California,120,100,0,60,10,0,20,10,60,80,1
1015,California,90,90,40,40,10,10,10,10,70,70,2
410,California,110,110,40,40,20,20,0,0,70,70,2
495,California,100,110,0,40,20,20,30,0,40,70,1
952,California,110,90,0,20,30,30,10,30,50,30,1
79,California,90,100,20,20,30,10,30,0,30,80,2
388,California,100,110,40,0,30,30,20,10,40,50,1
432,California,90,120,40,60,10,30,10,0,70,60,1
47,California,120,110,20,0,20,30,10,10,60,50,2
572,California,110,120,40,40,20,0,0,30,70,60,2
780,California,120,120,20,60,20,30,10,0,60,60,2
623,California,100,120,20,40,10,0,0,30,80,60,2
312,California,100,120,40,0,30,10,20,20,40,60,1
427,California,100,90,20,40,10,10,0,10,80,70,1
374,California,90,110,0,0,0,30,0,10,90,50,2
567,California,110,90,20,40,0,10,20,10,70,70,1
373,California,120,110,20,20,20,0,10,20,60,70,2
604,California,110,110,40,0,20,30,0,10,70,50,1
679,California,100,100,60,60,0,0,10,10,80,80,1
652,California,120,120,0,40,10,0,20,30,60,60,2
210,California,90,110,40,20,10,0,10,20,70,70,2
387,California,120,90,0,0,10,0,20,0,60,90,1
624,California,120,110,20,0,20,30,10,10,60,50,2
302,California,110,110,60,0,10,30,30,10,50,50,2
980,California,90,100,60,60,20,0,20,10,50,80,1
825,California,120,120,60,40,30,0,0,30,60,60,2
320,California,90,90,20,0,30,0,30,0,30,90,1
355,California,110,100,20,20,0,10,20,0,70,80,2
147,California,110,110,40,0,20,30,0,10,70,50,2
673,California,110,120,40,40,20,0,0,30,70,60,2
1007,California,110,110,40,0,20,30,0,10,70,50,1
365,California,120,110,0,20,10,0,20,20,60,70,2
82,California,110,100,60,40,10,30,30,20,50,40,1
571,California,110,100,40,40,20,30,0,20,70,40,1
422,California,110,100,0,40,30,30,10,20,50,40,2
242,California,120,110,60,0,30,30,0,10,60,50,2
664,California,90,120,40,60,10,30,10,0,70,60,2
100,California,100,100,40,40,30,30,20,20,40,40,2
237,California,120,90,0,40,10,10,20,10,60,70,1
196,California,120,100,40,60,0,0,30,10,60,80,1
449,California,90,110,60,0,20,30,20,10,50,50,1
990,California,100,110,0,0,20,30,30,10,40,50,1
997,California,100,120,20,0,10,10,0,20,80,60,2
382,California,90,100,20,40,30,30,30,20,30,40,1
