ID,device_name,security_label,label_condition,functionality,price,alternative,subject,item,age,gender,education,original_choice
8342,security camera,Does not have a security label,info_label_low,Functionality level of premium,159.99,informational,2290,10,22,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
1344,wearable,Does not have a security label,Graded_A,Functionality level of standard,159.99,informational,368,8,27,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
460,wearable,Has a security label,Graded_D,Functionality level of standard,191.99,informational,120,7,23,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
6290,Smart TV,Has a security label,info_label_high_sec,Functionality level of standard,223.99,graded,1681,7,28,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
8812,security camera,Has a security label,info_label_low,Functionality level of standard,207.99,binary,2387,5,27,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
7888,security camera,Has a security label,Graded_G,Functionality level of premium,191.99,graded,2172,3,27,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
5027,security camera,Does not have a security label,info_label_high_sec,Functionality level of standard,175.99,graded,1361,2,26,male,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
7676,Smart TV,Has a security label,Graded_A,Functionality level of premium,159.99,binary,2102,3,23,female,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
9671,Smart TV,Has a security label,info_label_high_sec,Functionality level of premium,207.99,informational,2626,4,24,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
10752,smart thermostat,Has a security label,SbD,Functionality level of premium,175.99,binary,2846,4,21,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
4117,smart thermostat,Has a security label,Graded_D,Functionality level of premium,175.99,informational,1157,6,19,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
1052,wearable,Has a security label,info_label_high,Functionality level of premium,207.99,binary,294,2,21,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
4114,smart thermostat,Has a security label,Graded_D,Functionality level of premium,159.99,binary,1157,3,19,male,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
8395,wearable,Does not have a security label,Graded_G,Functionality level of standard,207.99,informational,2301,3,20,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
4349,security camera,Has a security label,info_label_high_sec,Functionality level of standard,191.99,informational,1212,7,28,female,"Post-graduate Degree (MA, MSc etc.)","('willing to pay for the IoT device',)"
962,smart thermostat,Has a security label,info_label_high_sec,Functionality level of premium,207.99,binary,272,2,27,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
3430,smart thermostat,Does not have a security label,info_label_high_sec,Functionality level of standard,191.99,graded,942,9,21,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
449,Smart TV,Does not have a security label,SbD,Functionality level of premium,191.99,graded,119,6,27,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
3372,Smart TV,Does not have a security label,info_label_high_sec,Functionality level of premium,191.99,graded,932,6,26,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
446,Smart TV,Has a security label,SbD,Functionality level of premium,191.99,graded,119,3,27,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
1706,smart thermostat,Does not have a security label,info_label_high,Functionality level of premium,159.99,graded,462,5,21,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
10228,security camera,Has a security label,Graded_G,Functionality level of premium,159.99,binary,2743,3,28,male,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
10087,Smart TV,Has a security label,Graded_A,Functionality level of standard,207.99,binary,2713,5,25,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
10743,smart thermostat,Does not have a security label,Graded_A,Functionality level of standard,207.99,informational,2845,3,19,male,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
654,smart thermostat,Does not have a security label,SbD,Functionality level of premium,175.99,informational,178,5,21,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
8080,Smart TV,Has a security label,Graded_A,Functionality level of premium,159.99,binary,2232,3,18,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
9476,wearable,Has a security label,info_label_high_sec,Functionality level of standard,191.99,informational,2579,7,19,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
3570,smart thermostat,Has a security label,info_label_high_sec,Functionality level of premium,175.99,binary,990,4,23,male,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
6336,smart thermostat,Has a security label,SbD,Functionality level of premium,207.99,informational,1692,4,20,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
10199,wearable,Has a security label,SbD,Functionality level of premium,175.99,binary,2736,4,24,male,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
5309,smart thermostat,Has a security label,info_label_high,Functionality level of premium,207.99,binary,1435,2,25,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
5542,smart thermostat,Has a security label,SbD,Functionality level of standard,207.99,binary,1488,5,28,male,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
1722,Smart TV,Has a security label,Graded_A,Functionality level of standard,223.99,graded,471,7,19,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
5821,smart thermostat,Does not have a security label,Graded_D,Functionality level of premium,191.99,graded,1564,6,27,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
5603,smart thermostat,Does not have a security label,SbD,Functionality level of standard,175.99,graded,1510,2,27,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
7607,smart thermostat,Does not have a security label,info_label_low,Functionality level of premium,175.99,informational,2082,5,27,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
7544,smart thermostat,Does not have a security label,info_label_high_sec,Functionality level of premium,159.99,informational,2067,10,24,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
2694,smart thermostat,Does not have a security label,info_label_high,Functionality level of standard,159.99,informational,738,8,21,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
2659,smart thermostat,Has a security label,Graded_D,Functionality level of standard,191.99,graded,733,8,18,female,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
10252,smart thermostat,Does not have a security label,Graded_G,Functionality level of standard,159.99,informational,2749,8,28,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
8204,smart thermostat,Has a security label,info_label_low,Functionality level of standard,175.99,binary,2262,10,20,male,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","('not willing to pay for the IoT device',)"
7095,Smart TV,Has a security label,Graded_D,Functionality level of standard,159.99,binary,1924,1,22,male,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
1414,smart thermostat,Does not have a security label,Graded_A,Functionality level of premium,159.99,graded,385,5,29,female,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
519,Smart TV,Does not have a security label,Graded_D,Functionality level of premium,175.99,binary,132,8,29,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
3771,smart thermostat,Does not have a security label,info_label_high_sec,Functionality level of premium,175.99,binary,1046,8,22,female,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
10922,wearable,Does not have a security label,info_label_high_sec,Functionality level of premium,223.99,graded,2887,1,29,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
419,security camera,Does not have a security label,info_label_low,Functionality level of premium,175.99,binary,109,8,26,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
2655,smart thermostat,Does not have a security label,Graded_D,Functionality level of standard,223.99,graded,733,4,18,female,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
10206,Smart TV,Does not have a security label,Graded_G,Functionality level of standard,207.99,informational,2737,1,23,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
10270,security camera,Does not have a security label,Graded_G,Functionality level of standard,223.99,graded,2753,4,28,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
3835,wearable,Does not have a security label,Graded_A,Functionality level of standard,191.99,graded,1071,9,29,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
2152,security camera,Has a security label,Graded_G,Functionality level of premium,191.99,graded,588,3,24,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
9627,wearable,Does not have a security label,info_label_high_sec,Functionality level of standard,223.99,graded,2613,4,26,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
9577,smart thermostat,Has a security label,Graded_D,Functionality level of standard,191.99,informational,2600,7,25,female,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
7524,security camera,Has a security label,Graded_A,Functionality level of standard,175.99,binary,2065,10,25,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
2370,smart thermostat,Does not have a security label,info_label_high,Functionality level of standard,159.99,informational,655,8,25,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
8331,smart thermostat,Does not have a security label,info_label_high_sec,Functionality level of standard,191.99,graded,2289,9,28,male,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","('not willing to pay for the IoT device',)"
6563,Smart TV,Does not have a security label,Graded_D,Functionality level of premium,175.99,binary,1755,8,25,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
2747,smart thermostat,Does not have a security label,SbD,Functionality level of standard,207.99,informational,756,1,19,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
5137,security camera,Has a security label,Graded_D,Functionality level of premium,207.99,binary,1384,2,23,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
7646,smart thermostat,Does not have a security label,Graded_D,Functionality level of premium,207.99,binary,2091,7,29,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
9849,smart thermostat,Does not have a security label,Graded_D,Functionality level of premium,159.99,informational,2670,10,27,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
3640,smart thermostat,Has a security label,Graded_D,Functionality level of premium,223.99,informational,1004,9,21,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
9527,security camera,Has a security label,Graded_A,Functionality level of standard,175.99,binary,2588,10,19,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
4695,smart thermostat,Has a security label,Graded_A,Functionality level of premium,191.99,graded,1279,3,20,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
9266,security camera,Does not have a security label,Graded_D,Functionality level of standard,207.99,informational,2516,3,26,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
4598,smart thermostat,Does not have a security label,info_label_high_sec,Functionality level of standard,207.99,informational,1259,1,26,female,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
5024,smart thermostat,Has a security label,info_label_low,Functionality level of standard,191.99,graded,1360,8,24,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
8938,smart thermostat,Has a security label,SbD,Functionality level of standard,191.99,informational,2423,7,23,female,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
9757,smart thermostat,Does not have a security label,info_label_low,Functionality level of standard,207.99,informational,2651,3,26,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
6844,smart thermostat,Has a security label,info_label_high_sec,Functionality level of premium,223.99,informational,1833,9,25,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
506,wearable,Has a security label,Graded_G,Functionality level of standard,207.99,binary,131,5,18,male,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
10396,wearable,Has a security label,SbD,Functionality level of standard,223.99,graded,2780,7,22,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
6860,security camera,Has a security label,info_label_high,Functionality level of premium,175.99,informational,1839,6,23,male,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
6224,smart thermostat,Has a security label,info_label_high,Functionality level of premium,223.99,informational,1670,9,27,male,"Post-graduate Degree (MA, MSc etc.)","('willing to pay for the IoT device',)"
10044,wearable,Does not have a security label,info_label_low,Functionality level of premium,207.99,binary,2703,7,24,male,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","('not willing to pay for the IoT device',)"
2760,wearable,Has a security label,SbD,Functionality level of premium,175.99,binary,758,4,26,male,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
9819,smart thermostat,Does not have a security label,info_label_high_sec,Functionality level of premium,159.99,informational,2664,10,21,female,"Post-graduate Degree (MA, MSc etc.)","('willing to pay for the IoT device',)"
7274,security camera,Has a security label,info_label_high_sec,Functionality level of premium,175.99,informational,1980,6,23,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
8025,smart thermostat,Does not have a security label,Graded_G,Functionality level of premium,175.99,informational,2218,5,26,female,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","('not willing to pay for the IoT device',)"
8659,security camera,Has a security label,SbD,Functionality level of premium,175.99,informational,2354,6,22,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
1017,smart thermostat,Has a security label,info_label_high_sec,Functionality level of premium,175.99,binary,285,4,26,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
1851,wearable,Does not have a security label,Graded_G,Functionality level of premium,175.99,informational,504,5,23,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
1064,Smart TV,Has a security label,SbD,Functionality level of premium,207.99,informational,296,4,24,female,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","('not willing to pay for the IoT device',)"
9670,Smart TV,Does not have a security label,info_label_high_sec,Functionality level of standard,207.99,informational,2626,3,24,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
10866,smart thermostat,Has a security label,info_label_high_sec,Functionality level of standard,223.99,graded,2874,7,24,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
7103,Smart TV,Does not have a security label,Graded_D,Functionality level of standard,191.99,graded,1924,9,22,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
3543,smart thermostat,Does not have a security label,Graded_D,Functionality level of premium,159.99,graded,983,5,24,male,"Post-graduate Degree (MA, MSc etc.)","('willing to pay for the IoT device',)"
